12827f24b742ea4e80cdc12dbcf9622227056b9f797252a3149263d4f9aaadce	9993	chat_template.jinja
1b3c71868d1299e52df6fc907deb202d5132b1ef0f72aae0ef6d15185dd53a5c	22564	config.json
d0d0ed2e37cdfafef4a5067d5ea2407b05f4fb50526e47c008a5b235d50240fb	214	generation_config.json
34448b82c17d60fec9b65b1f093c115ddbaadc04beb1b0140b6bfed2e012a930	1570	.gitattributes
1d8268aa85ace093a561e3e7b63b9d390dac1cd55a90cd55b5ec509c3c9da9fe	849400392	model_mtp.safetensors
c473512c70eace07e2256fe9fd76596ac03e3295bee7d54cfb72676416afcc05	22568192096	model.safetensors
429430e1b9e65b2cb98eff8cd10a06e70a09cee89c48487a3914684aeb6df57f	164371	model.safetensors.index.json
27225450ac9c6529872ee1924fcb0962ff5634834f817040f444118116f4e516	390	preprocessor_config.json
8ed32e6cf0828d9e906b9a73396340b84caae63acc0e271da3f45d59b50dc5a5	6741	README.md
529f30018c36dca5387c99b5edf368287f386f2c32d3790aa7141956bc5119fa	1047	tokenizer_config.json
06b9509352d2af50381ab2247e083b80d32d5c0aba91c272ca9ff729b6a0e523	19989325	tokenizer.json
7768af27c1fafa9cc9011c1dc20067e03f8915e03b63504550e11d5066986d13	385	video_preprocessor_config.json
ce99b4cb2983d118806ce0a8b777a35b093e2000a503ebde25853284c9dfa003	6722759	vocab.json
